GEOIDFQ,NAME,GEOTYPE,YEAR,FUEL_TYPE,FACILITIES,CAPACITY
0500000US39041,Delaware County,COUNTY,2021,Solar,117,975159
0500000US39041,Delaware County,COUNTY,2021,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2021,Wind,0,0
0500000US39041,Delaware County,COUNTY,2022,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2022,Energy Storage,4,21520
0500000US39041,Delaware County,COUNTY,2022,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2022,Solar,146,1346606
0500000US39041,Delaware County,COUNTY,2022,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2022,Wind,0,0
0500000US39041,Delaware County,COUNTY,2023,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2023,Energy Storage,10,75680
0500000US39041,Delaware County,COUNTY,2023,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2023,Solar,250,1872644
0500000US39041,Delaware County,COUNTY,2023,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2023,Wind,0,0
0500000US39041,Delaware County,COUNTY,2024,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2024,Energy Storage,4,1019680
0500000US39041,Delaware County,COUNTY,2024,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2024,Solar,126,2108764
0500000US39041,Delaware County,COUNTY,2024,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2024,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2000,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2000,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2000,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2000,Solar,0,0
0500000US39045,Fairfield County,COUNTY,2000,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2000,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2001,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2001,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2001,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2001,Solar,0,0
0500000US39045,Fairfield County,COUNTY,2001,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2001,Wind,0,0
